CPU only time (ns): 1.15535e+10
PIM only time (ns): 1.09151e+10
Reuse offloading time (ns): 5.54602e+09 = CPU 3.27693e+08 + PIM 5.21827e+09 + REUSE 58410 + SWITCH 8760
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
    190         P         386880          91060         295820  51ac5cc6dd6f5b97  557515c5290d091f
    191         C         168260    6.38108e+07   -6.36425e+07  522c4f5758551a41  bcb6bd3f4cb13c45
    192         P         144051          51552          92499  52935456e3955680  a17244d85e692c77
    193         P    1.19571e+06         612300         583410  52e5c15d0256e925  f64f09f9e3b7fe8a
    194         P     2.3961e+07    7.46421e+06    1.64968e+07  534808ba824b9271  340baaccfd94cd88
    195         P    5.41829e+06         608630    4.80966e+06  536a81e200eb631f  c681ef5a44c03b6c
    196         P        44163.3         129587       -85423.7  53d7c9bc1be728f1  3c8277171aa1a110
    197         C            198             81            117  5452071b5d70c9fb  ed5e593cb9cdbbba
    198         P        1.66667             20       -18.3333  549c036dfec18422  f1ee6a9ee0475f2f
    199         P        2770.33           4713       -1942.67  550f07f110644359  009bf3a521967a54
    200         P        156.667           1793       -1636.33  555c0eff62837c41  6b18a007f90489e3
    201         C    1.96465e+06    1.93166e+07    -1.7352e+07  55747d84e84494be  791c132a5e1eb02e
    202         C         279775    3.17207e+06    -2.8923e+06  55949915ffda66cf  7eba5bd2c489838e
    203         C        81.6666             56        25.6666  565266fccb698c6d  bfc995261d29522f
    204         P         785779         511308         274471  573501a73575731e  59d4a9365f9f020a
    205         C         613677    7.67502e+06   -7.06134e+06  57776dc0058e27ee  1502c43b4266f49e
    206         P         316995         181440         135555  578c1b8087c61cf2  696bb232a9fb4dba
    207         C        1.33333              4       -2.66667  582541d932831e0c  88629ed7b6422741
    208         P    1.69878e+06         232424    1.46636e+06  59ac12fe8364f2d5  bc0d34020fd8c5df
    209         P    2.92082e+06          92677    2.82814e+06  5a2d806169223b9f  79c46ffb54eb424f
    210         C       0.333333              5       -4.66667  5a42c5921e0d193c  e85fd213221fd9d0
    211         P    5.25449e+06    2.78031e+06    2.47418e+06  5a7a61c92b866921  c73260966e87a396
    212         P    1.51286e+07    6.97318e+06    8.15542e+06  5aa9dcaef255740c  2fb911bd3bbbb7a8
    213         P        8358.99          15360       -7001.01  5b08d2620b0a72d0  2a764fe1579aec76
    214         P              5            447           -442  5cb92ff7e9740a32  c56887aadc94bf2b
    215         C            110            128            -18  5d3477e0a2482d13  19709689c8044a60
    216         P         512332         226380         285952  5d60da216831714c  849dffdd1b82bfdc
    217         P    9.09244e+07    3.11523e+07    5.97721e+07  5dd1d3ed9c2b69d8  1ef7656acd788f76
    218         C        2.66666            147       -144.333  5efa5b20afd0d793  7fa1aafaf9703492
